ROE,ROA,Leverage,Size,Growth,Y,Z1,Z21,Z22,X,ROE Norm,ROA Norm,Leverage Norm,Size Norm,Growt Norm,Y Norm,Z1 Norm,X Norm
0.2608,0.1685,0.5478,27.2267,0.0758,4.8548,0.3144,3,2,0.49,0.0934826328865186,0.399721739086198,0.000431589774809712,-0.974905401488289,-0.0491818326861293,1.3832234723043,-0.024122940147439,-0.112166610372709
0.1136,0.0724,0.5693,27.3731,0.1577,1.1181,0.0065,3,2,0.34,-0.00540638019866218,0.105291412340027,0.00147333795541368,-0.899052027573018,-0.0241562690760091,-0.254953175137229,-0.0883325180356244,-0.898622388643818
-0.0265,-0.0183,0.4420,29.4687,-0.0183,0.5829,0.0064,3,1,0.55,-0.0994530285436626,-0.17256897715766,-0.00469243647597701,0.186447876674845,-0.0779146609970044,-0.489585910361011,-0.0883471224033356,0.196096213841289
0.0078,0.0056,0.4043,29.4358,0.0053,0.4990,0.0865,3,1,0.25,-0.0764568331617244,-0.0993978494559429,-0.00651646395948805,0.169369989909027,-0.0706894647185975,-0.526385371860795,-0.0716573155298555,-1.33731476865238
0.1767,0.1428,0.2371,25.7244,0.0943,1.9326,0.2384,1,1,0.32,0.0369727065011131,0.321037508418258,-0.0146117961268859,-1.7530758615173,-0.0435079465131454,0.102125230766677,-0.0399659059359827,-0.986360833790769
0.0131,0.0106,0.2429,27.0226,0.3209,0.7270,-2.0067,1,1,0.29,-0.0728838261689699,-0.0840836745497653,-0.0143300593977449,-1.0806049335912,0.025671933660578,-0.426434106345716,-0.508135898983888,-1.16183787835848
0.0540,0.0230,1.3510,30.2415,-0.2821,0.7875,-0.3677,1,1,0.33,-0.0454348044032043,-0.0460738924326324,0.039313194731181,0.586734480705453,-0.158469797357146,-0.399897635002114,-0.166361201438902,-0.927868537026135
0.0268,0.0127,1.1079,30.5091,0.3068,1.0403,-0.0332,3,2,0.42,-0.0636893777233293,-0.0774679509902966,0.0275446352429546,0.725346628067691,0.0213814007902645,-0.289082768629702,-0.0966195044625694,-0.459930008635255
-0.0312,-0.0225,0.3854,29.6125,-0.0231,0.7266,-0.0342,3,1,0.64,-0.102623064822949,-0.185310370679599,-0.00743235037105994,0.260887158055364,-0.0793590895006757,-0.426583163016075,-0.096810580437443,0.681513810272281
0.0680,0.0528,0.2883,29.5616,0.0447,0.7356,0.1549,4,2,0.34,-0.0359985735294825,0.045351731757248,-0.012132803360681,0.234521843030186,-0.0586637576415196,-0.422663849389579,-0.0573930887108559,-0.898622388643818
0.1121,0.0946,0.1857,28.7009,-0.0089,1.2167,0.1756,1,1,0.57,-0.0063802260895445,0.173255720573643,-0.0170965978978154,-0.211290252897534,-0.0750258039896617,-0.211744276812012,-0.0530615301594571,0.284661412319046
0.1397,0.1216,0.1482,28.7728,0.0745,1.0820,0.1936,3,1,0.58,0.0121094134801039,0.256166663515689,-0.0189157845440559,-0.174057662641937,-0.0495604989323349,-0.270770718274138,-0.0493136146501061,0.354615018740747
0.1715,0.1534,0.1181,28.8579,0.0888,1.5131,0.4071,3,1,0.32,0.0335205907223992,0.353503559219354,-0.0203704561438305,-0.129972162410249,-0.0451875145406703,-0.0818150844759279,-0.00479106459026786,-0.986360833790769
-0.0645,-0.0393,0.6430,27.3964,-0.0472,0.8759,0.4064,3,1,0.71,-0.125014804134684,-0.236643484965107,0.00504055094001901,-0.887008931810043,-0.0867278125014347,-0.36112974864965,-0.00493115357509646,1.02633860106232
0.2286,0.1180,0.9370,27.8174,0.2006,1.5602,0.2230,3,2,0.39,0.0718296732161422,0.245048572533804,0.0192687398453684,-0.668943431368979,-0.0110586922213654,-0.0611268954340551,-0.0431779888284036,-0.635407053202964
-0.1245,-0.0258,3.8238,28.4558,-0.0506,2.0147,0.1936,4,3,0.47,-0.165285010767307,-0.195417726117677,0.159014514252866,-0.338221892326222,-0.0877783059586503,0.138091728520338,-0.0493136146501061,-0.196714673194402
0.1637,0.1500,0.0913,25.2864,0.0734,1.3566,0.2376,1,1,0.14,0.0282215258402878,0.342936778534092,-0.0216697368672232,-1.97993670673494,-0.04990252005794,-0.150403072939606,-0.0401327057179551,-1.95148411609175
